GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo - Tests d'intégration,com.parkit.parkingsystem.service,FareCalculatorService,46,60,6,5,10,14,7,2,1,2
JaCoCo - Tests d'intégration,com.parkit.parkingsystem.service,DiscountDAO,13,19,1,1,4,7,2,2,1,2
JaCoCo - Tests d'intégration,com.parkit.parkingsystem.service,ParkingService,39,209,6,5,13,55,6,7,0,7
JaCoCo - Tests d'intégration,com.parkit.parkingsystem.service,InteractiveShell,72,0,6,0,28,0,8,0,4,0
JaCoCo - Tests d'intégration,com.parkit.parkingsystem,App,12,0,0,0,5,0,3,0,3,0
JaCoCo - Tests d'intégration,com.parkit.parkingsystem.model,ParkingSpot,37,25,8,0,9,10,8,5,4,5
JaCoCo - Tests d'intégration,com.parkit.parkingsystem.model,Ticket,0,45,0,0,0,19,0,13,0,13
JaCoCo - Tests d'intégration,com.parkit.parkingsystem.constants,Fare,3,0,0,0,1,0,1,0,1,0
JaCoCo - Tests d'intégration,com.parkit.parkingsystem.constants,ParkingType,0,15,0,0,0,3,0,1,0,1
JaCoCo - Tests d'intégration,com.parkit.parkingsystem.constants,DBConstants,3,0,0,0,1,0,1,0,1,0
JaCoCo - Tests d'intégration,com.parkit.parkingsystem.util,InputReaderUtil,45,10,4,0,15,2,5,1,3,1
JaCoCo - Tests d'intégration,com.parkit.parkingsystem.dao,TicketDAO,109,222,3,3,17,55,3,6,0,6
JaCoCo - Tests d'intégration,com.parkit.parkingsystem.dao,ParkingSpotDAO,15,92,2,2,5,24,2,4,0,4
JaCoCo - Tests d'intégration,com.parkit.parkingsystem.config,DataBaseConfig,18,75,3,3,8,28,3,6,0,6
